"Comparison of narrow type with wide type in loop condition","Comparisons between types of different widths in a loop condition can cause the loop to behave unexpectedly.","warning","Comparison between [[""buffer_index""|""relative:///Kernel/Devices/Audio/IntelHDA/Stream.cpp:87:17:87:28""]] of type u8 and [[""call to page_count""|""relative:///Kernel/Memory/Region.h:160:26:160:35""]] of wider type size_t.","/Kernel/Devices/Audio/IntelHDA/Stream.cpp","87","35","87","70"
"Comparison of narrow type with wide type in loop condition","Comparisons between types of different widths in a loop condition can cause the loop to behave unexpectedly.","warning","Comparison between [[""i""|""relative:///Userland/Libraries/LibGL/Texture.cpp:953:32:953:32""]] of type TextureUnitIndex and [[""num_texture_units""|""relative:///Userland/Libraries/LibGPU/DeviceInfo.h:16:14:16:30""]] of wider type unsigned int.","/Userland/Libraries/LibGL/Texture.cpp","953","39","953","73"
"Comparison of narrow type with wide type in loop condition","Comparisons between types of different widths in a loop condition can cause the loop to behave unexpectedly.","warning","Comparison between [[""i""|""relative:///Userland/Libraries/LibGfx/ImageFormats/GIFLoader.cpp:209:18:209:18""]] of type u16 and [[""m_table_capacity""|""relative:///Userland/Libraries/LibGfx/ImageFormats/GIFLoader.cpp:236:9:236:24""]] of wider type u32.","/Userland/Libraries/LibGfx/ImageFormats/GIFLoader.cpp","209","25","209","44"
"Comparison of narrow type with wide type in loop condition","Comparisons between types of different widths in a loop condition can cause the loop to behave unexpectedly.","warning","Comparison between [[""i""|""relative:///Userland/Libraries/LibPDF/Fonts/CFF.cpp:386:17:386:17""]] of type u8 and [[""... - ...""|""relative:///Userland/Libraries/LibPDF/Fonts/CFF.cpp:386:28:386:42""]] of wider type unsigned long.","/Userland/Libraries/LibPDF/Fonts/CFF.cpp","386","24","386","42"
"Comparison of narrow type with wide type in loop condition","Comparisons between types of different widths in a loop condition can cause the loop to behave unexpectedly.","warning","Comparison between [[""code""|""relative:///Userland/Libraries/LibPDF/Fonts/Type0Font.cpp:55:26:55:29""]] of type u16 and [[""last_code""|""relative:///Userland/Libraries/LibPDF/Fonts/Type0Font.cpp:53:22:53:30""]] of wider type int.","/Userland/Libraries/LibPDF/Fonts/Type0Font.cpp","55","45","55","61"
"Comparison of narrow type with wide type in loop condition","Comparisons between types of different widths in a loop condition can cause the loop to behave unexpectedly.","warning","Comparison between [[""c""|""relative:///Userland/Libraries/LibRegex/RegexParser.cpp:1670:19:1670:19""]] of type char and [[""... + ...""|""relative:///Userland/Libraries/LibRegex/RegexParser.cpp:1670:41:1670:49""]] of wider type int.","/Userland/Libraries/LibRegex/RegexParser.cpp","1670","36","1670","49"
"Comparison of narrow type with wide type in loop condition","Comparisons between types of different widths in a loop condition can cause the loop to behave unexpectedly.","warning","Comparison between [[""i""|""relative:///Userland/Libraries/LibSoftGPU/PixelConverter.cpp:328:17:328:17""]] of type u8 and [[""number_of_components_in_pixel""|""relative:///Userland/Libraries/LibSoftGPU/PixelConverter.cpp:326:16:326:44""]] of wider type int.","/Userland/Libraries/LibSoftGPU/PixelConverter.cpp","328","24","328","56"
"Comparison of narrow type with wide type in loop condition","Comparisons between types of different widths in a loop condition can cause the loop to behave unexpectedly.","warning","Comparison between [[""row""|""relative:///Userland/Libraries/LibVT/Terminal.cpp:805:14:805:16""]] of type u16 and [[""... + ...""|""relative:///Userland/Libraries/LibVT/Terminal.cpp:805:38:805:55""]] of wider type unsigned long.","/Userland/Libraries/LibVT/Terminal.cpp","805","32","805","55"
"Comparison of narrow type with wide type in loop condition","Comparisons between types of different widths in a loop condition can cause the loop to behave unexpectedly.","warning","Comparison between [[""i""|""relative:///Userland/Libraries/LibVideo/VP9/Decoder.cpp:418:19:418:19""]] of type u8 and [[""... * ...""|""relative:///Userland/Libraries/LibVideo/VP9/Decoder.cpp:418:39:418:52""]] of wider type int.","/Userland/Libraries/LibVideo/VP9/Decoder.cpp","418","35","418","52"
"Comparison of narrow type with wide type in loop condition","Comparisons between types of different widths in a loop condition can cause the loop to behave unexpectedly.","warning","Comparison between [[""i""|""relative:///Userland/Libraries/LibVideo/VP9/Decoder.cpp:422:19:422:19""]] of type u8 and [[""... * ...""|""relative:///Userland/Libraries/LibVideo/VP9/Decoder.cpp:422:39:422:52""]] of wider type int.","/Userland/Libraries/LibVideo/VP9/Decoder.cpp","422","35","422","52"
"Comparison of narrow type with wide type in loop condition","Comparisons between types of different widths in a loop condition can cause the loop to behave unexpectedly.","warning","Comparison between [[""x""|""relative:///Userland/Libraries/LibVideo/VP9/TreeParser.cpp:656:13:656:13""]] of type u8 and [[""... - ...""|""relative:///Userland/Libraries/LibVideo/VP9/TreeParser.cpp:656:60:656:113""]] of wider type unsigned long.","/Userland/Libraries/LibVideo/VP9/TreeParser.cpp","656","56","656","113"
"Comparison of narrow type with wide type in loop condition","Comparisons between types of different widths in a loop condition can cause the loop to behave unexpectedly.","warning","Comparison between [[""y""|""relative:///Userland/Libraries/LibVideo/VP9/TreeParser.cpp:663:13:663:13""]] of type u8 and [[""... - ...""|""relative:///Userland/Libraries/LibVideo/VP9/TreeParser.cpp:663:60:663:118""]] of wider type unsigned long.","/Userland/Libraries/LibVideo/VP9/TreeParser.cpp","663","56","663","118"
"Comparison of narrow type with wide type in loop condition","Comparisons between types of different widths in a loop condition can cause the loop to behave unexpectedly.","warning","Comparison between [[""i""|""relative:///Userland/Utilities/touch.cpp:138:21:138:21""]] of type u8 and [[""call to length""|""relative:///AK/StringView.h:75:36:75:41""]] of wider type size_t.","/Userland/Utilities/touch.cpp","138","37","138","66"
